State,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_electricity,other_renewable_exc_biofuel_electricity,renewables_electricity,solar_electricity,wind_electricity
Australia,3.608,151.422,204.799,47.509,13.324,0,5.867,3.609,0.001,33.423,5.023,11.467
Brazil,49.446,25.849,127.515,74.979,356.146,13.892,26.687,49.446,0,427.281,0.059,21.63
Canada,9.252,57.704,126.528,63.711,378.372,95.637,5.112,9.404,0.152,417.339,2.866,26.697
China,53.9,3897.7,4176.8,166.9,1112.7,171.4,112.2,54,0.1,1391.8,39.5,185.6
Colombia,1.371,8.317,26.865,17.276,48.082,0,1.272,1.371,0,49.53,0.009,0.068
India,16.743,871.914,912.811,40.515,132.26,38.153,0.383,17.019,0.275,188.587,6.566,32.741
Indonesia,1.134,116.68,196.509,49.518,13.604,0,30.311,11.184,10.05,24.797,0.005,0.004
Mexico,1.369,31.761,236.538,175.135,30.614,11.185,29.641,7.364,5.995,46.67,0.239,8.453
Thailand,7.446,32.22,152.827,119.747,3.714,0,0.86,7.447,0.001,13.871,2.38,0.33
United Kingdom,28.469,75.878,182.426,99.875,6.297,70.345,6.672,28.471,0.002,82.576,7.533,40.275
United States,63.632,1352.398,2741.274,1346.599,243.989,797.178,42.277,79.549,15.918,553.289,39.032,190.719
