year,Australia,Brazil,Canada,China,Colombia,India,Indonesia,Mexico,Thailand,United Kingdom,United States
2011,10651.345,2648.507,17810.737,3428.556,1312.174,722.896,708.272,2476.146,2181.696,5702.384,13159.023
2012,10363.101,2724.184,17633.767,3602.412,1326.181,754.648,761.727,2480.491,2320.053,5593.373,12889.166
2013,10158.045,2782.446,18141.453,3859.649,1551.616,784.507,812.05,2369.392,2358.389,5468.812,12850.668
2014,9946.289,2849.317,17842.098,4004.776,1475.184,851.348,845.162,2376.994,2377.773,5123.843,12881.037
2015,9954.109,2781.25,17750.68,4080.043,1607.609,869.785,856.503,2415.868,2425.941,5091.816,12751.7
2016,10020.199,2754.93,17751.096,4259.258,1551.366,924.206,897.427,2455.956,2577.703,5050.235,12678.899
2017,9953.881,2780.881,17565.71,4538.072,1588.236,960.455,911.863,2445.188,2489.693,4993.953,12483.692
2018,9953.693,2824.332,17187.343,4900.508,1575.727,1011.229,1006.442,2519.438,2493.055,4888.805,12852.303
2019,10065.425,2915.675,16904.146,5110.044,1490.696,1008.604,1038.832,2458.569,2636.027,4731.456,12647.454
